i,q,expected_law,expected_article,hit_at_4,answer,seconds
1,خلال كام ساعة لازم المتحكم يبلّغ المركز عن خرق البيانات؟,pdp,7.0,True,وفقًا للمادة 7 من قانون حماية البيانات الشخصية 151 لسنة 2020، لازم المتحكم يبلغ المركز خلال اثنتين وسبعين ساعة عن خرق البيانات.,6.5
2,هل ينفع أجمع بيانات شخصية حساسة عن الأطفال من غير موافقة ولي الأمر؟,pdp,12.0,True,لا ينفع جمع بيانات شخصية حساسة عن الأطفال من غير موافقة ولي الأمر. وفقًا للمادة 12 من قانون حماية البيانات الشخصية 151 لسنة 2020، يجب الحصول على موافقة ولي الأمر في حالة إجراء أي عملية تتعلق ببيانات الأطفال.,8.3
3,إيه هي حقوق الشخص اللي بياناته بتتعالج؟,pdp,2.0,True,"حقوق الشخص المعني بالبيانات الشخصية وفقًا للمادة 2 من قانون حماية البيانات الشخصية 151 لسنة 2020 هي:

1. العلم بالبيانات الشخصية الخاصة به الموجودة لدي أي حائز أو متحكم أو معالج والاطلاع عليها والوصول إليها أو الحصول عليها.
2. العدول عن الموافقة المسبقة علي الاحتفاظ ببياناته الشخصية أو معالجتها.
3. التصحيح أو التعديل أو المحو أو الإضافة أو التحديث للبيانات الشخصية.
4. تخصيص المعالجة في نطاق محدد.
5. العلم والمعرفة بأي خرق أو انتهاك لبياناته الشخصية.
6. الاعتراض علي معالجة البيانات الشخصية أو نتائجها متي تعارضت مع الحقوق والحريات الأساسية للشخص المعني بالبيانات.",17.8
4,هل يجوز نقل البيانات الشخصية لدولة أجنبية من غير ترخيص؟,pdp,14.0,True,نعم، يجوز نقل البيانات الشخصية لدولة أجنبية من غير ترخيص في حالة الموافقة الصريحة للشخص المعني بالبيانات أو من ينوب عنه، وفقًا للمادة 15 من قانون حماية البيانات الشخصية 151 لسنة 2020.,7.5
5,مين المسؤول عن حماية البيانات جوه الجهة، وإيه دوره؟,pdp,9.0,True,"المادة 9 من قانون حماية البيانات الشخصية 151 لسنة 2020 تحدد المسؤول عن حماية البيانات جوه الجهة ودوره.

**المسؤول عن حماية البيانات جوه الجهة:**
- مسئول حماية البيانات الشخصية داخل كيانه.
- مسئول عن تنفيذ أحكام القانون ولائحته التنفيذية وقرارات المركز.
- مسئول عن مراقبة الإجراءات المعمول بها داخل كيانه وتشمل:
  1. إجراء التقييم والفحص الدوري لنظم حماية البيانات الشخصية.
  2. العمل كنقطة اتصال مع المركز.
  3. تمكين الشخص المعني بالبيانات من ممارسة حقوقه.
  4. إخطار المركز في حال وجود خرق أو انتهاك للبيانات الشخصية.
  5. الرد على الطلبات المقدمة من الشخص المعني بالبيانات أو ذي الصفة.
  6. متابعة القيد والتحديث لسجل البيانات الشخصية.
  7. إزالة أي مخالفات متعلقة بالبيانات الشخصية.",32.6
6,إيه عقوبة جمع بيانات حساسة من غير ترخيص؟,pdp,41.0,True,"يعاقب بالحبس مدة لا تقل عن ثلاثة شهور وبغرامة لا تقل عن خمسمائة ألف جنيه ولا تجاوز خمسة ملايين جنيه ، أو بإحدى هاتين العقوبتين.

القانون: قانون حماية البيانات الشخصية، المادة 41.",8.5
7,هل أقدر أرجّع سلعة واسترد فلوسي من غير سبب؟,cpl,17.0,True,نعم، يمكنك أرجاع السلعة واسترداد قيمة المال دون إبداء أسباب خلال أربعة عشر يوما من تسلمها، وفقاً للمادة 17 من قانون حماية المستهلك 181 لسنة 2018.,6.9
8,إيه ضمان السلع المعمرة زي الأجهزة الكهربائية؟,cpl,22.0,True,المادة 22 من قانون حماية المستهلك 181 لسنة 2018 تحدد ضمان السلع المعمرة، حيث يلتزم المورد بضمان السلع المعمرة ضد عيوب الصناعة لمدة عامين على الأقل من تاريخ استلام المستهلك للسلعة.,7.8
9,هل يجوز للمحل يحبس سلعة عن البيع عشان يرفع السعر بعدين؟,cpl,8.0,True,المادة 8 من قانون حماية المستهلك 181 لسنة 2018 تحظر حبس المنتجات الإستراتيجية المعدة للبيع عن التداول، لكنها لا تتناول حالة رفع السعر. بناءً على النصوص المتاحة، المعلومات المتاحة في النصوص المرفقة غير كافية للإجابة على هذا السؤال.,9.0
10,إيه حقي لو اتصلت بشركة تسويق وأنا مش عايز أتلقى إعلانات منهم؟,cpl,17.0,True,وفقًا للمادة 17 من قانون حماية البيانات الشخصية 151 لسنة 2020، لديك الحق في رفض الاتصال الإلكتروني للتسويق المباشر. يجب أن تتوفر موافقتك على هذا الاتصال، وأن يكون لديك آليات واضحة لرفض الاتصال أو العدول عن موافقتك.,8.9
